iter	Passed	Remaining
0	0	63
1	1	63
2	1	64
3	2	60
4	3	61
5	3	59
6	4	59
7	5	59
8	5	58
9	6	58
10	7	57
11	7	56
12	8	55
13	8	54
14	9	54
15	10	53
16	10	52
17	11	52
18	12	51
19	12	50
20	13	50
21	14	50
22	15	50
23	15	49
24	16	49
25	17	49
26	17	48
27	18	48
28	19	47
29	20	47
30	20	46
31	21	46
32	22	45
33	22	44
34	23	43
35	24	42
36	24	42
37	25	41
38	25	40
39	26	39
40	26	38
41	27	37
42	27	36
43	28	35
44	28	34
45	29	34
46	29	33
47	30	32
48	30	31
49	31	31
50	31	30
51	32	29
52	32	28
53	33	28
54	33	27
55	33	26
56	34	26
57	35	25
58	35	24
59	36	24
60	37	23
61	37	23
62	38	22
63	38	21
64	39	21
65	40	20
66	40	20
67	41	19
68	42	18
69	42	18
70	43	17
71	43	17
72	44	16
73	45	15
74	45	15
75	46	14
76	46	13
77	47	13
78	47	12
79	48	12
80	48	11
81	49	10
82	50	10
83	50	9
84	51	9
85	51	8
86	52	7
87	52	7
88	53	6
89	53	5
90	54	5
91	54	4
92	55	4
93	55	3
94	56	2
95	57	2
96	57	1
97	58	1
98	58	0
99	59	0
